Squat,Bench,Deadlift,Total,Gender
275,205,300,780,Male
510,290,490,1290,Male
225,155,295,675,Male
365,335,425,1125,Male
455,295,545,1295,Male
350,235,325,910,Male
355,315,455,1125,Male
425,345,560,1330,Male
325,235,375,935,Male
495,335,540,1370,Male
325,265,355,945,Male
300,315,365,980,Male
190,120,240,550,Male
525,405,635,1565,Male
610,435,755,1800,Male
260,205,315,780,Male
210,185,225,620,Male
455,325,445,1225,Male
330,250,400,980,Male
275,215,260,750,Male
405,265,455,1125,Male
455,345,545,1345,Male
225,175,265,665,Male
385,255,365,1005,Male
375,260,405,1040,Male
230,150,325,705,Female
455,335,465,1255,Male
360,245,425,1030,Male
370,260,370,1000,Male
320,275,335,930,Male
110,67.5,120,297.5,Female
255,195,275,725,Male
455,365,500,1320,Male
415,260,405,1080,Male
505,285,545,1335,Male
315,275,435,1025,Male
405,225,500,1130,Male
385,275,425,1085,Male
285,305,415,1005,Male
505,350,605,1460,Male
150,95,175,420,Male
170.5,100,195.5,466,Male
225,185,315,725,Female
545,390,615,1550,Male
130,90,160,380,Male
107.5,50,105,262.5,Female
375,205,405,985,Female
485,325,545,1355,Male
455,275,475,1205,Male
97,97,97,291,Male
185,95,190,470,Female
230,120,245,595,Female
445,300,480,1225,Male
396,313,400,1109,Male
415,265,440,1120,Male
435,270,495,1200,Male
475,315,475,1265,Male
355,295,355,1005,Male
225,175,250,650,Male
375,230,425,1030,Male
374,253,385,1012,Male
320,205,300,825,Male
275,255,300,830,Male
335,295,460,1090,Male
551.156,360.4558,612.885,1524.4968,Male
345,245,410,1000,Male
350,205,350,905,Female
225,140,265,630,Female
335,175,340,850,Female
295,250,365,910,Male
407,275,506,1188,Male
500,345,585,1430,Male
520,385,500,1405,Male
260,155,255,670,Male
355,265,415,1035,Male
430,315,550,1295,Male
265,135,315,715,Female
535,345,520,1400,Male
405,295,505,1205,Male
150,80,152.5,382.5,Female
300,275,375,950,Male
160,112.5,210,482.5,Male
450,295,495,1240,Male
385,270,415,1070,Male
300,205,375,880,Male
505,285,540,1330,Male
265,245,405,915,Male
225,235,0,460,Male
585,330,545,1460,Male
205,145,245,595,Female
265,115,241,621,Male
177,110,200,487,Male
215,95,185,495,Female
115,105,115,335,Male
225,165,285,675,Male
227.4,137.4,250,614.8,Male
450,275,475,1200,Male
545,385,500,1430,Male
300,210,385,895,Male
145,80,205,430,Female
455,335,525,1315,Male
275,225,315,815,Male
325,225,390,940,Male
160,130,200,490,Male
230,200,275,705,Male
275,275,295,845,Male
405,90,475,970,Male
405,325,485,1215,Male
187,145,185,517,Male
275,185,335,795,Male
175,95,185,455,Female
155,70,185,410,Female
440,330,455,1225,Male
170,105,215,490,Female
227.5,145,280,652.5,Female
185,115,195,495,Female
415,315,485,1215,Male
320,235,385,940,Male
405,355,410,1170,Male
425,315,500,1240,Male
410,235,385,1030,Male
495,290,535,1320,Male
275,205,335,815,Male
425,335,500,1260,Male
185,125,225,535,Male
455,315,500,1270,Male
300,215,375,890,Male
160,130,210,500,Male
285,205,295,785,Male
315,235,405,955,Male
590,355,780,1725,Male
145,145,195,485,Male
501,380,521,1402,Male
405,280,505,1190,Male
415,325,535,1275,Male
170.25,110,175.5,455.75,Male
200,132.5,240,572.5,Male
385,305,410,1100,Male
120,100,165,385,Male
225,215,315,755,Male
27,27,27,81,Male
275,265,315,855,Male
400,300,455,1155,Male
455,315,455,1225,Male
295,240,295,830,Male
165,100,205,470,Female
345,280,415,1040,Male
200,125,215,540,Male
0,345,0,345,Male
405,285,395,1085,Male
265,225,355,845,Male
270,195,340,805,Male
330,245,335,910,Male
355,235,395,985,Male
155,125,205,485,Female
255,210,315,780,Male
315,235,355,905,Male
565,375,635,1575,Male
525,285,585,1395,Male
385,260,415,1060,Male
405,255,500,1160,Male
340,285,385,1010,Male
124,90,124,338,Male
47.5,40,42.5,130,Female
315,205,365,885,Male
113,83,173,369,Female
245,145,285,675,Female
365,320,455,1140,Male
505,315,600,1420,Male
335,230,375,940,Male
300,155,300,755,Female
155,96,225,476,Female
295,265,365,925,Male
225,185,295,705,Male
420,275,495,1190,Male
135,255,135,525,Male
365,245,355,965,Male
175,135,200,510,Female
125,95,180,400,Male
515,405,545,1465,Male
283,243,333,859,Male
335,285,435,1055,Male
425,335,505,1265,Male
212.5,142.5,210,565,Male
315,235,425,975,Male
319,165,320,804,Female
165,95,175,435,Female
415,315,465,1195,Male
405,315,495,1215,Male
350,315,495,1160,Male
365,300,365,1030,Male
435,330,405,1170,Male
330,315,410,1055,Male
260,153,370,783,Female
460,300,425,1185,Male
275,135,290,700,Female
405,315,475,1195,Male
475,335,545,1355,Male
565,425,675,1665,Male
629,375,577,1581,Male
250,195,335,780,Male
450,325,525,1300,Male
280,180,345,805,Male
450,370,455,1275,Male
405,255,445,1105,Male
520,425,600,1545,Male
245,190,315,750,Male
350,365,315,1030,Male
480,335,545,1360,Male
230,190,260,680,Female
406,242,506,1154,Male
315,285,315,915,Male
255,185,315,755,Male
275,250,395,920,Male
355,255,345,955,Male
315,225,345,885,Male
344,345,500,1189,Male
365,245,415,1025,Male
170,77,161,408,Female
350,230,310,890,Male
225,135,235,595,Female
455,315,495,1265,Male
435,305,515,1255,Male
325,295,385,1005,Male
315,265,320,900,Male
330,225,375,930,Male
205,130,275,610,Female
565,340,625,1530,Male
420,295,365,1080,Male
115,83,172.5,370.5,Female
125,110,155,390,Female
180,95,230,505,Female
365,255,430,1050,Male
285,210,300,795,Male
425,0,0,425,Male
385,210,405,1000,Male
275,200,405,880,Male
285,230,340,855,Male
135,95,185,415,Female
200,110,200,510,Male
480,320,535,1335,Male
249,197,307,753,Male
295,195,335,825,Male
375,235,435,1045,Male
280,155,290,725,Female
240,175,240,655,Male
245,245,295,785,Male
450,315,445,1210,Male
265,150,280,695,Female
295,225,315,835,Male
265,130,365,760,Other
365,245,455,1065,Male
375,290,435,1100,Male
500,350,545,1395,Male
140,80,185,405,Female
565,400,600,1565,Male
275,115,315,705,Female
375,375,375,1125,Male
45,45,65,155,Female
145,120,190,455,Male
425,245,455,1125,Male
235,115,0,350,Female
135,135,135,405,Male
320,275,405,1000,Male
238,188,263,689,Male
150,95,160,405,Male
355,325,435,1115,Male
385,250,400,1035,Male
475,295,455,1225,Male
175,95,185,455,Female
245,147.5,315,707.5,Female
280,140,290,710,Female
260,185,330,775,Female
335,265,375,975,Male
370,260,450,1080,Male
375,245,365,985,Male
573.2,407.9,540.1,1521.2,Male
335,215,405,955,Male
325,255,330,910,Male
255,140,275,670,Female
160,130,200,490,Male
405,275,445,1125,Male
200,225,200,625,Male
135,55,155,345,Female
525,355,565,1445,Male
0,245,0,245,Male
405,290,455,1150,Male
405,335,455,1195,Male
170,101,220,491,Male
305,245,385,935,Male
365,245,435,1045,Male
286,168,265,719,Female
275,200,355,830,Male
465,380,500,1345,Male
365,265,440,1070,Male
165,140,230,535,Male
85,85,145,315,Female
145,85,180,410,Female
425,215,465,1105,Male
340,200,385,925,Male
415,255,505,1175,Male
220,170,220,610,Male
235,195,265,695,Male
295,185,425,905,Male
300,275,407,982,Male
237.5,157.5,250,645,Male
405,205,465,1075,Male
105,60,145,310,Female
455,275,570,1300,Male
150,95,170,415,Male
365,315,405,1085,Male
140,100,150,390,Male
405,275,475,1155,Male
550,345,585,1480,Male
275,155,405,835,Male
405,275,455,1135,Male
25,45,25,95,Female
315,200,325,840,Male
245,145,250,640,Female
0,175,0,175,Female
505,435,550,1490,Male
425,265,480,1170,Male
375,225,405,1005,Male
425,315,600,1340,Male
225,105,285,615,Female
545,305,520,1370,Male
350,260,365,975,Male
385,295,430,1110,Male
185,115,205,505,Female
140,107.5,160,407.5,Male
230,0,335,565,Female
305,210,350,865,Male
365,300,475,1140,Male
200,165,250,615,Male
235,170,280,685,Male
250,130,285,665,Female
455,300,605,1360,Male
360,285,435,1080,Male
160,110,180,450,Male
275,225,405,905,Male
455,325,525,1305,Male
